Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open source?,User Interface Language(s),Imports,Exports,Scripting support
TARGET 3001!,20.3.0.64 29 April 2019 (6 months ago) (2019-04-29),Yes,Yes,Yes,No,Yes,No,No,en  de  fr,EAGLE  DXF  Gerber  XGerber  Excellon  BMP  CXF  STEP 3D,XGerber  Excellon  EAGLE  HPGL  G-Code (Milling)  CXF  STEP 3D  Excel BOMs  Pick&Place  GenCAD  FABmaster  IPC D-356  Test points  Netlists  OBJ  POV-Ray  PDF,[added]
NI Ultiboard and Multisim by National Instruments,14.1 1 March 2017 (2 years ago) (2017-03-01) [8],Yes,Yes,Yes,No,Yes,Web application [9],No,en,MS*  MP*  EWB  Spice  OrCAD  UltiCap  Protel  Gerber  DXF  Ultiboard 4&5  Calay,BOM  Gerber  Excellon  IGES (3D)  DXF (2D & 3D)  SVG,[added]
123D Circuits by Autodesk,N/A,Yes  + breadboard,Yes,Yes,Yes,Yes,Web application,No,en,EAGLE,Gerber,[added]
Application and developer,Latest version/release + date,Schematic?,Simulation?,PCB editing?,Runs on POSIX style systems?,Runs on Windows?,Other platforms?,Open source?,User Interface Language(s),Imports,Exports,Scripting support
Name,Architecture,License,Autorouter,Comment
Electric,*BSD  Java,GPL,Yes,VLSI circuit design tool with connectivity at all levels. Can also be used for schematic entry and PCB design.
FreePCB,w32,GPL,Yes,A printed circuit board design program for Microsoft Windows. FreePCB allows for up to 16 copper layers  both metric and US customary units  and export of designs in Gerber format. Boards can be partially or fully autorouted with the FreeRouting[11] autorouter by using the FpcROUTE Specctra DSN design file translator.
Fritzing,Windows  Mac  Linux,GPL,Yes,Protoboard view  schematic view  PCB view  Code (firmware) view. Includes customizable design rule checker. Includes common shaped boards like Arduino and Raspberry Pi shields. Allows spline curve traces. Only two layers (top and bottom). Outputs gerbers.
gEDA,*BSD  Linux  Mac,GPL,Yes,schematic  simulation  PCB editor  gerber view
Gnucap,any (C++98),GPL3,[empty],Mixed-signal circuit simulator
Icarus Verilog,*BSD  Linux  Mac,GPL,[empty],Verilog simulator
KiCad,Linux  Mac  Windows,GNU GPL,Built-in  or FreeRouting,Full package for schematic and board design  etc. Design rule checking. User-defined symbols and footprints. Gerber/ drill file creation. Graphic interface. Active user community.
KTechLab,Linux,GPL,n/a,KTechLab is a schematic capture and simulator. It is specifically geared toward mixed signal simulation of analog components and small digital processors.
Magic,Linux,BSD license,no,A very-large-scale integration layout tool
Ngspice,Linux  Solaris  Mac  NetBSD  FreeBSD  w32,BSD,[empty],SPICE + XSPICE + Cider
Oregano,[empty],GPL,no,Schematic capture + spice simulation
Quite Universal Circuit Simulator (QUCS),Linux  Solaris  Mac  NetBSD  FreeBSD  w32,GPL,[empty],Schematic capture + Verilog + VHDL + simulation
pcb-rnd,*BSD  Linux  Mac,GPL,yes,Circuit layout program with extended file format support  DRC  parametric footprints  query language  and GUI and command line operation for batch processing and automation
Verilator,Posix,GPL,[empty],Verilator is the fastest free Verilog HDL simulator. It compiles synthesizable Verilog into cycle accurate C++ or SystemC code following 2-state synthesis (zero delay) semantics. Benchmarks reported on its website suggest it is several times faster than commercial event driven simulators such as ModelSim  NC-Verilog and VCS  while not quite as fast as commercial cycle accurate modeling tools such as Carbon ModelStudio and ARC VTOC.
XCircuit,Unix,GPL,[empty],Used to produce netlists and publish high-quality drawings.
